kind,path,status,logical_bytes,reference_file_count,suggested_keep
cache,/home/linux/Documents/MSM/.pytest_cache,regenerable_cache,873588,,
cache,/home/linux/Documents/MSM/.codex/skills/locate-experiment-evidence/scripts/__pycache__,regenerable_cache,29653,,
cache,/home/linux/Documents/MSM/deliverables/patents/tools/__pycache__,regenerable_cache,32102,,
cache,/home/linux/Documents/MSM/deliverables/background/__pycache__,regenerable_cache,111968,,
cache,/home/linux/Documents/MSM/deliverables/background/figures/200v200_learning_gnn/__pycache__,regenerable_cache,91374,,
cache,/home/linux/Documents/MSM/deliverables/background/figures/200v200_full_stack_3d/__pycache__,regenerable_cache,85239,,
cache,/home/linux/Documents/MSM/deliverables/leadership_report/__pycache__,regenerable_cache,90182,,
cache,/home/linux/Documents/MSM/deliverables/leadership_report/tools/__pycache__,regenerable_cache,868182,,
cache,/home/linux/Documents/MSM/deliverables/project_proposals/__pycache__,regenerable_cache,34489,,
cache,/home/linux/Documents/MSM/deliverables/project_proposals/tools/__pycache__,regenerable_cache,23974,,
cache,/home/linux/Documents/MSM/research_modules/__pycache__,regenerable_cache,38792,,
cache,/home/linux/Documents/MSM/research_modules/scalable_3d_simulation/__pycache__,regenerable_cache,2460820,,
cache,/home/linux/Documents/MSM/research_modules/scalable_3d_simulation/scripts/__pycache__,regenerable_cache,176415,,
cache,/home/linux/Documents/MSM/research_modules/scalable_3d_simulation/tests/__pycache__,review_required,2945827,,
cache,/home/linux/Documents/MSM/research_modules/d2_data_association/.pytest_cache,regenerable_cache,272207,,
cache,/home/linux/Documents/MSM/research_modules/d2_data_association/scripts/__pycache__,regenerable_cache,92780,,
cache,/home/linux/Documents/MSM/research_modules/d2_data_association/d2_data_association/__pycache__,regenerable_cache,1214089,,
cache,/home/linux/Documents/MSM/research_modules/d2_data_association/tests/__pycache__,review_required,1713164,,
cache,/home/linux/Documents/MSM/research_modules/integrated_simulation/__pycache__,regenerable_cache,130938,,
cache,/home/linux/Documents/MSM/research_modules/integrated_simulation/tests/__pycache__,review_required,33404,,
cache,/home/linux/Documents/MSM/research_modules/integration_tests/__pycache__,review_required,47776,,
cache,/home/linux/Documents/MSM/research_modules/d1_sensor_fusion/scripts/__pycache__,regenerable_cache,54082,,
cache,/home/linux/Documents/MSM/research_modules/d1_sensor_fusion/src/d1_sensor_fusion/__pycache__,regenerable_cache,1695325,,
cache,/home/linux/Documents/MSM/research_modules/d1_sensor_fusion/tests/__pycache__,review_required,3224097,,
cache,/home/linux/Documents/MSM/research_modules/d6_evaluation_metrics/scripts/__pycache__,regenerable_cache,140991,,
cache,/home/linux/Documents/MSM/research_modules/d6_evaluation_metrics/d6_evaluation_metrics/__pycache__,review_required,6753930,,
cache,/home/linux/Documents/MSM/research_modules/d6_evaluation_metrics/tests/__pycache__,review_required,6527430,,
cache,/home/linux/Documents/MSM/research_modules/independent_experiments/__pycache__,regenerable_cache,36165,,
cache,/home/linux/Documents/MSM/research_modules/independent_experiments/dual_optical_target_track_gnn/__pycache__,regenerable_cache,218407,,
