document,table_index,section,table_line,row,column,reported,source,selector,source_row,source_fields,source_values,expected,status
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,1,关联准确度,100.0%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:9,8,"[""binding_precision_mean""]","{""binding_precision_mean"": ""1.0""}",100.0%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,1,关联覆盖度,100.0%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:9,8,"[""binding_recall_mean""]","{""binding_recall_mean"": ""1.0""}",100.0%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,1,处理耗时P95,0.736秒,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:9,8,"[""runtime_s_p95""]","{""runtime_s_p95"": ""0.7357715516503959""}",0.736秒,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,1,达到80%的批数,10/10,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:9,8,"[""seeds_precision_and_recall_gte_0_80"", ""seed_count""]","{""seeds_precision_and_recall_gte_0_80"": ""10"", ""seed_count"": ""10""}",10/10,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,2,关联准确度,100.0%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:10,9,"[""binding_precision_mean""]","{""binding_precision_mean"": ""1.0""}",100.0%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,2,关联覆盖度,9.5%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:10,9,"[""binding_recall_mean""]","{""binding_recall_mean"": ""0.095""}",9.5%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,2,处理耗时P95,0.167秒,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:10,9,"[""runtime_s_p95""]","{""runtime_s_p95"": ""0.1674197356020158""}",0.167秒,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,2,达到80%的批数,0/10,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:10,9,"[""seeds_precision_and_recall_gte_0_80"", ""seed_count""]","{""seeds_precision_and_recall_gte_0_80"": ""0"", ""seed_count"": ""10""}",0/10,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,3,关联准确度,100.0%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:25,24,"[""binding_precision_mean""]","{""binding_precision_mean"": ""1.0""}",100.0%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,3,关联覆盖度,100.0%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:25,24,"[""binding_recall_mean""]","{""binding_recall_mean"": ""1.0""}",100.0%,match
