source_split,scenario_version,configured_scale,seed,episode,frame_index,timestamp_s,class_label,candidate_availability_status,observed_anonymous_target_count,observed_anonymous_resource_count,target_demand_slot_count,teacher_binding_change_count,candidate_teacher_symmetric_difference_count,candidate_exact_teacher,effective_exact_teacher,ood,rejected,rejection_reasons,exclusive_observable_failure_pathway
train,center_failure-20v20-v1,20t20r,20060,center_failure_20v20-s20060-9d117de63ece-r4dcb163981ae,0,0.85,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
train,center_failure-20v20-v1,20t20r,20060,center_failure_20v20-s20060-9d117de63ece-r4dcb163981ae,1,1.0,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
train,center_failure-20v20-v1,20t20r,20060,center_failure_20v20-s20060-9d117de63ece-r4dcb163981ae,2,1.0,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
train,center_failure-20v20-v1,20t20r,20061,center_failure_20v20-s20061-d65b70240b88-r4dcb163981ae,0,0.75,negative,proposal_available_teacher_edge_reachability_unavailable,19,20,19,0,0,True,True,False,False,,negative_not_applicable
train,center_failure-20v20-v1,20t20r,20061,center_failure_20v20-s20061-d65b70240b88-r4dcb163981ae,1,1.0,negative,proposal_available_teacher_edge_reachability_unavailable,19,20,19,0,0,True,True,False,False,,negative_not_applicable
train,center_failure-20v20-v1,20t20r,20061,center_failure_20v20-s20061-d65b70240b88-r4dcb163981ae,2,1.0,negative,proposal_available_teacher_edge_reachability_unavailable,19,20,19,0,0,True,True,False,False,,negative_not_applicable
test,center_failure-20v20-v1,20t20r,20062,center_failure_20v20-s20062-f9fb74943e68-r4dcb163981ae,0,0.85,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
test,center_failure-20v20-v1,20t20r,20062,center_failure_20v20-s20062-f9fb74943e68-r4dcb163981ae,1,1.0,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
test,center_failure-20v20-v1,20t20r,20062,center_failure_20v20-s20062-f9fb74943e68-r4dcb163981ae,2,2.0,positive,proposal_available_teacher_edge_reachability_unavailable,20,20,20,6,4,False,False,False,False,,candidate_selection_mismatch_non_ood
validation,center_failure-20v20-v1,20t20r,20063,center_failure_20v20-s20063-32b93bf2de0b-r4dcb163981ae,0,0.75,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
