seed,scenario_id,scenario_kind,cycle_index,step_id,event_type,timestamp_s,input_snapshot_sha256,target_count,resource_count,paired_rule_matrix_equal,treatment_cost_matrix_changed,treatment_changed_cost_count,treatment_max_abs_cost_change,binding_difference,binding_symmetric_difference_count,rule_bindings,treatment_bindings,rule_plan_token,rule_plan_version,rule_input_previous_plan_token,rule_declared_previous_plan_token,rule_lineage_state,treatment_plan_token,treatment_plan_version,treatment_input_previous_plan_token,treatment_declared_previous_plan_token,treatment_lineage_state,rule_churn,treatment_churn,rule_cost_on_rule_matrix,treatment_cost_on_rule_matrix,rule_high_threat_unmet,treatment_high_threat_unmet,rule_duplicate_resource_count,treatment_duplicate_resource_count,rule_hard_constraint_violation_count,treatment_hard_constraint_violation_count,rule_stale_version_adoption_count,treatment_stale_version_adoption_count,treatment_learning_applied,treatment_fallback_reason,treatment_fallback_exact_rule_matrix,treatment_inference_elapsed_ms,online_truth_use_count,ppo_enabled,online_assist_enabled,online_authority_enabled,runtime_publication_allowed,schema_version
1000,hungarian_switch_boundary,hungarian_switch_boundary,0,cycle-00,baseline,0.0,c4ce59555d91eec673655d5f270714250afac318df252395487a9f8646771cb7,1,2,True,True,2,0.13638363507163564,False,0,target-000->resource-000,target-000->resource-000,R-P0001,1,,,initial,T-P0001,1,,,initial,0,0,2.3738333333333337,2.3738333333333337,0,0,0,0,0,0,0,0,True,,True,1.0143820545636117,0,False,False,False,False,d3.multi-cycle-shadow-cycle.v1
1000,hungarian_switch_boundary,hungarian_switch_boundary,1,cycle-01,hungarian_boundary_crossing,3.0,dd460a56229ae4b7c243d3031e47b6ac27b8a624471cc0a26dc57de6d8cd5bc3,1,2,True,True,2,0.19641752192645923,True,2,target-000->resource-001,target-000->resource-000,R-P0002,2,R-P0001,R-P0001,advanced,T-P0001,1,T-P0001,,evaluation_refresh,2,0,2.3738333333333337,2.378,0,0,0,0,0,0,0,0,True,,True,0.3326489822939038,0,False,False,False,False,d3.multi-cycle-shadow-cycle.v1
1000,hungarian_switch_boundary,hungarian_switch_boundary,2,cycle-02,hungarian_boundary_crossing,6.0,bbb6349d0ccff00e82ca11906efa1d4cb05551b80b4bd2d66ff4f94fea32a493,1,2,True,True,2,0.19646546535350407,False,0,target-000->resource-000,target-000->resource-000,R-P0003,3,R-P0002,R-P0002,advanced,T-P0001,1,T-P0001,,evaluation_refresh,2,0,2.3738333333333337,2.3738333333333337,0,0,0,0,0,0,0,0,True,,True,0.28075004229322076,0,False,False,False,False,d3.multi-cycle-shadow-cycle.v1
1000,hungarian_switch_boundary,hungarian_switch_boundary,3,cycle-03,hungarian_boundary_crossing,9.0,acfba54b4a5f85237e9a8fcfdae0ff849e1f6aaeb0502558efa86e40201570ef,1,2,True,True,2,0.19641752192645923,True,2,target-000->resource-001,target-000->resource-000,R-P0004,4,R-P0003,R-P0003,advanced,T-P0001,1,T-P0001,,evaluation_refresh,2,0,2.3738333333333337,2.378,0,0,0,0,0,0,0,0,True,,True,0.26314094429835677,0,False,False,False,False,d3.multi-cycle-shadow-cycle.v1
1000,hungarian_switch_boundary,hungarian_switch_boundary,4,cycle-04,hungarian_boundary_crossing,12.0,48f0a5dec18674ce6bf08f8be9ef79baf713ded3449b0effeae0644ff0f3fd6a,1,2,True,True,2,0.19646546535350407,False,0,target-000->resource-000,target-000->resource-000,R-P0005,5,R-P0004,R-P0004,advanced,T-P0001,1,T-P0001,,evaluation_refresh,2,0,2.3738333333333337,2.3738333333333337,0,0,0,0,0,0,0,0,True,,True,0.2563960151746869,0,False,False,False,False,d3.multi-cycle-shadow-cycle.v1
1000,hungarian_switch_boundary,hungarian_switch_boundary,5,cycle-05,hungarian_boundary_crossing,15.0,35bc1a13f545d92ed39f8aa5791ca37dd23d53435eb6928f8ee9fdbb86821f7b,1,2,True,True,2,0.19641752192645923,True,2,target-000->resource-001,target-000->resource-000,R-P0006,6,R-P0005,R-P0005,advanced,T-P0001,1,T-P0001,,evaluation_refresh,2,0,2.3738333333333337,2.378,0,0,0,0,0,0,0,0,True,,True,0.24337100330740213,0,False,False,False,False,d3.multi-cycle-shadow-cycle.v1
1000,five_resources_three_targets,resource_surplus_5x3,0,cycle-00,baseline,0.0,c2691bd4615282bb938016ecc35abe9616e18cae2d37ce6e6c748d7a2c3f2d03,3,5,True,True,15,0.16170130970786634,False,0,target-000->resource-001|target-001->resource-002|target-002->resource-003,target-000->resource-001|target-001->resource-002|target-002->resource-003,R-P0001,1,,,initial,T-P0001,1,,,initial,0,0,7.193907513161197,7.193907513161197,0,0,0,0,0,0,0,0,True,,True,0.2726090024225414,0,False,False,False,False,d3.multi-cycle-shadow-cycle.v1
1000,five_resources_three_targets,resource_surplus_5x3,1,cycle-01,kinematic_update,3.0,c2236361229f50091d7a3346ab82da50339341e763c249a821d9c81885bf3789,3,5,True,True,15,0.19682560069846966,False,0,target-000->resource-001|target-001->resource-002|target-002->resource-003,target-000->resource-001|target-001->resource-002|target-002->resource-003,R-P0001,1,R-P0001,,evaluation_refresh,T-P0001,1,T-P0001,,evaluation_refresh,0,0,7.187542225376809,7.187542225376809,0,0,0,0,0,0,0,0,True,,True,0.3224589745514095,0,False,False,False,False,d3.multi-cycle-shadow-cycle.v1
1000,five_resources_three_targets,resource_surplus_5x3,2,cycle-02,kinematic_update,6.0,a4aef70e1474cbcad9a6461190cadc7611cb45d27bb9b99710f5124118ea3ec1,3,5,True,True,15,0.1968490142317063,False,0,target-000->resource-001|target-001->resource-002|target-002->resource-003,target-000->resource-001|target-001->resource-002|target-002->resource-003,R-P0001,1,R-P0001,,evaluation_refresh,T-P0001,1,T-P0001,,evaluation_refresh,0,0,7.181778781418597,7.181778781418597,0,0,0,0,0,0,0,0,True,,True,0.33754995092749596,0,False,False,False,False,d3.multi-cycle-shadow-cycle.v1
1000,five_resources_three_targets,resource_surplus_5x3,3,cycle-03,kinematic_update,9.0,357f6f8ce3a9e6339f6f4a232a86517f6b00c823969384ea5814a42f4a3a87b1,3,5,True,True,15,0.19687347149826273,False,0,target-000->resource-001|target-001->resource-002|target-002->resource-003,target-000->resource-001|target-001->resource-002|target-002->resource-003,R-P0001,1,R-P0001,,evaluation_refresh,T-P0001,1,T-P0001,,evaluation_refresh,0,0,7.175143167623415,7.175143167623415,0,0,0,0,0,0,0,0,True,,True,0.2772610168904066,0,False,False,False,False,d3.multi-cycle-shadow-cycle.v1
