term,multiplier,total_cost,mean_cost,reassignment_events,unassigned_high_threat_ratio,runtime_mean_ms
window,0.5,3186.094294686749,15.930471473433744,13,0.0,0.19420311487920117
window,1.0,3380.071045357576,16.90035522678788,12,0.0,0.1761864349100506
window,1.5,3568.6203416744747,17.843101708372373,12,0.0,0.18840633980289567
window,2.0,3755.259628766604,18.776298143833017,12,0.0,0.1735150498279836
covariance,0.5,3149.1272202140435,15.745636101070218,13,0.0,0.1710368300700793
covariance,1.0,3380.071045357576,16.90035522678788,12,0.0,0.1820783752918942
covariance,1.5,3608.4778794483045,18.04238939724152,12,0.0,0.1752858451072825
covariance,2.0,3830.0784442517943,19.150392221258972,11,0.0,0.1842546695843339
threat,0.5,2976.9215316955806,14.884607658477902,13,0.0,0.17304199493082706
threat,1.0,3380.071045357576,16.90035522678788,12,0.0,0.17174258988234214
threat,1.5,3739.6454712408495,18.698227356204246,11,0.0,0.17105440529121552
threat,2.0,4057.7157736805884,20.288578868402944,11,0.0,0.17152947511931416
resource_state,0.5,3180.5164134686834,15.902582067343417,13,0.0,0.1750554198952159
resource_state,1.0,3380.071045357576,16.90035522678788,12,0.0,0.17168127531476784
resource_state,1.5,3560.0105273613513,17.800052636806758,12,0.0,0.17201368442329112
resource_state,2.0,3739.76479131152,18.6988239565576,12,0.0,0.1733876448997762
fov,0.5,3180.8394578189545,15.904197289094773,10,0.0,0.17171023457194678
fov,1.0,3380.071045357576,16.90035522678788,12,0.0,0.17283280067204032
fov,1.5,3539.1931707410868,17.695965853705435,14,0.0,0.1726529658481013
fov,2.0,3646.412442929347,18.232062214646735,13,0.0,0.172675009816885
conflict,0.5,3160.249531980165,15.801247659900826,13,0.0,0.17398191579559352
conflict,1.0,3380.071045357576,16.90035522678788,12,0.0,0.17357011995045468
conflict,1.5,3562.226754608082,17.81113377304041,13,0.0,0.17302952510362957
conflict,2.0,3718.508318266042,18.59254159133021,11,0.0,0.1704109855927527
