frame_id,timestamp,resource_id,camera_id,local_track_id,global_track_id,truth_global_track_id,mahalanobis_d2,pixel_error_px,gate_passed,selected,stable_cross_view_support,decision_state,reject_reasons,id_match
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_1:0,0.0,INT-01,D5_Primary_1:0,D5_Primary_1:0:det:0001,G-101,G-101,0.008504810519099609,6.569812041724004,True,True,False,candidate,stability_window_failed,True
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_1:0,0.0,INT-01,D5_Primary_1:0,D5_Primary_1:0:det:0002,G-101,G-102,38.70782892532919,443.2206848025622,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_1:0,0.0,INT-01,D5_Primary_1:0,D5_Primary_1:0:det:0003,G-101,G-103,152.77972498770694,880.5488944279281,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_1:0,0.0,INT-01,D5_Primary_1:0,D5_Primary_1:0:det:0001,G-102,G-101,38.33628375294832,441.75669132862555,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_1:0,0.0,INT-01,D5_Primary_1:0,D5_Primary_1:0:det:0002,G-102,G-102,0.0320218399041365,12.75176999183972,True,True,False,candidate,stability_window_failed,True
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_1:0,0.0,INT-01,D5_Primary_1:0,D5_Primary_1:0:det:0003,G-102,G-103,38.306811695572456,441.58563299138444,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_1:0,0.0,INT-01,D5_Primary_1:0,D5_Primary_1:0:det:0001,G-103,G-101,157.06796777155918,897.7170976609538,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_1:0,0.0,INT-01,D5_Primary_1:0,D5_Primary_1:0:det:0002,G-103,G-102,39.83423686850306,452.0886246770935,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_1:0,0.0,INT-01,D5_Primary_1:0,D5_Primary_1:0:det:0003,G-103,G-103,0.054224981891185665,16.659726073747386,True,True,False,candidate,stability_window_failed,True
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_1:0,0.0,INT-01,D5_Primary_1:0,D5_Primary_1:0:det:0001,G-104,G-101,,1338.4401180126406,False,False,False,rejected,projection_invalid,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_1:0,0.0,INT-01,D5_Primary_1:0,D5_Primary_1:0:det:0002,G-104,G-102,,892.7775562705106,False,False,False,rejected,projection_invalid,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_1:0,0.0,INT-01,D5_Primary_1:0,D5_Primary_1:0:det:0003,G-104,G-103,,455.42898590088356,False,False,False,rejected,projection_invalid,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_1:0,0.0,INT-01,D5_Primary_1:0,D5_Primary_1:0:det:0001,G-105,G-101,,1764.95876255618,False,False,False,rejected,projection_invalid,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_1:0,0.0,INT-01,D5_Primary_1:0,D5_Primary_1:0:det:0002,G-105,G-102,,1319.2976400531386,False,False,False,rejected,projection_invalid,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_1:0,0.0,INT-01,D5_Primary_1:0,D5_Primary_1:0:det:0003,G-105,G-103,,881.951778869789,False,False,False,rejected,projection_invalid,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_2:0,0.0,INT-02,D5_Primary_2:0,D5_Primary_2:0:det:0004,G-101,G-101,0.01171237797545848,7.713620787233879,True,True,False,candidate,stability_window_failed,True
