frame_index,timestamp,camera_id,camera_owner,camera_role,detector_backend,online_detection_count,offline_visible_target_count,offline_matched_detection_count
0,0.0,D5_Primary_1:0,D5_Primary_1,primary,airsim,3,3,3
0,0.0,D5_Primary_2:0,D5_Primary_2,primary,airsim,4,4,4
0,0.0,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
0,0.0,D5_Primary_4:0,D5_Primary_4,primary,airsim,4,4,4
0,0.0,D5_Primary_5:0,D5_Primary_5,primary,airsim,3,3,3
0,0.0,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
1,0.25,D5_Primary_1:0,D5_Primary_1,primary,airsim,3,3,3
1,0.25,D5_Primary_2:0,D5_Primary_2,primary,airsim,4,4,4
1,0.25,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
1,0.25,D5_Primary_4:0,D5_Primary_4,primary,airsim,4,4,4
1,0.25,D5_Primary_5:0,D5_Primary_5,primary,airsim,3,3,3
1,0.25,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
2,0.5,D5_Primary_1:0,D5_Primary_1,primary,airsim,3,3,3
2,0.5,D5_Primary_2:0,D5_Primary_2,primary,airsim,4,4,4
2,0.5,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
2,0.5,D5_Primary_4:0,D5_Primary_4,primary,airsim,4,4,4
2,0.5,D5_Primary_5:0,D5_Primary_5,primary,airsim,3,3,3
2,0.5,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
3,0.75,D5_Primary_1:0,D5_Primary_1,primary,airsim,3,3,3
3,0.75,D5_Primary_2:0,D5_Primary_2,primary,airsim,4,4,4
3,0.75,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
3,0.75,D5_Primary_4:0,D5_Primary_4,primary,airsim,4,4,4
3,0.75,D5_Primary_5:0,D5_Primary_5,primary,airsim,3,3,3
3,0.75,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
4,1.0,D5_Primary_1:0,D5_Primary_1,primary,airsim,3,3,3
4,1.0,D5_Primary_2:0,D5_Primary_2,primary,airsim,4,4,4
4,1.0,D5_Primary_3:0,D5_Primary_3,primary,airsim,4,4,4
4,1.0,D5_Primary_4:0,D5_Primary_4,primary,airsim,4,4,4
4,1.0,D5_Primary_5:0,D5_Primary_5,primary,airsim,3,3,3
4,1.0,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
5,1.25,D5_Primary_1:0,D5_Primary_1,primary,airsim,3,3,3
5,1.25,D5_Primary_2:0,D5_Primary_2,primary,airsim,4,4,4
5,1.25,D5_Primary_3:0,D5_Primary_3,primary,airsim,4,4,4
5,1.25,D5_Primary_4:0,D5_Primary_4,primary,airsim,4,4,4
5,1.25,D5_Primary_5:0,D5_Primary_5,primary,airsim,3,3,3
