frame_index,timestamp,camera_id,camera_owner,camera_role,detector_backend,online_detection_count,offline_visible_target_count,offline_matched_detection_count
0,0.0,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,3,3,2
0,0.0,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,3,3,2
0,0.0,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,2,5,2
0,0.0,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,4,2
0,0.0,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,2,3,2
0,0.0,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
1,0.25,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,1,3,1
1,0.25,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,1,4,1
1,0.25,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,1,5,1
1,0.25,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,1,4,1
1,0.25,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,3,1
1,0.25,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
2,0.5,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,1,3,1
2,0.5,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,2,4,2
2,0.5,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,1,5,1
2,0.5,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,4,2
2,0.5,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,3,1
2,0.5,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
3,0.75,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,1,3,1
3,0.75,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,2,4,2
3,0.75,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,2,5,2
3,0.75,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,4,2
3,0.75,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,3,1
3,0.75,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
4,1.0,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,2,3,2
4,1.0,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,4,4,3
4,1.0,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,3,5,3
4,1.0,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,3,4,3
4,1.0,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,2,3,2
4,1.0,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
5,1.25,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,3,3,3
5,1.25,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,5,4,4
5,1.25,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,3,5,3
5,1.25,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,3,4,3
5,1.25,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,2,3,2
5,1.25,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
6,1.5,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,2,3,2
6,1.5,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,3,4,3
6,1.5,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,2,5,2
6,1.5,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,4,2
6,1.5,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,3,1
6,1.5,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
7,1.75,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,3,3,3
7,1.75,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,3,4,3
7,1.75,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,3,5,3
7,1.75,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,0,4,0
7,1.75,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,3,1
7,1.75,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
8,2.0,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,3,3,3
8,2.0,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,3,4,3
8,2.0,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,2,5,2
8,2.0,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,1,3,1
8,2.0,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,3,1
8,2.0,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
9,2.25,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,2,3,2
9,2.25,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,3,4,3
9,2.25,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,2,5,2
9,2.25,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,3,2
9,2.25,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,2,3,2
9,2.25,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
10,2.5,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,2,3,2
10,2.5,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,3,4,3
10,2.5,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,3,5,3
10,2.5,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,3,4,3
10,2.5,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,3,1
10,2.5,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
11,2.75,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,1,3,1
11,2.75,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,3,4,2
11,2.75,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,2,5,2
11,2.75,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,1,4,1
11,2.75,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,3,1
11,2.75,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
12,3.0,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,2,3,2
12,3.0,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,3,4,2
12,3.0,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,2,5,2
12,3.0,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,4,2
12,3.0,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,3,1
12,3.0,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
13,3.25,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,4,3,3
13,3.25,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,6,4,4
13,3.25,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,3,4,2
13,3.25,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,4,2
13,3.25,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,2,3,2
