case_id,group,seed,duration_s,business_semantics_passed,finite_state_passed,truth_isolation_passed,implementation_identity_passed,online_batch_frame_audit_passed,reference_request_count,candidate_request_count,reference_duplicate_check_count,candidate_duplicate_check_count,candidate_duplicate_check_reduction_pct,candidate_closed_handoff_count,candidate_closed_handoff_ratio_pct,candidate_reference_fallback_count,reference__d1_fusion_wall_s,candidate__d1_fusion_wall_s,raw_relative_change__d1_fusion_wall_s,improvement_pct__d1_fusion_wall_s,reference__d1_fusion_p50_ms,candidate__d1_fusion_p50_ms,raw_relative_change__d1_fusion_p50_ms,improvement_pct__d1_fusion_p50_ms,reference__d1_fusion_p95_ms,candidate__d1_fusion_p95_ms,raw_relative_change__d1_fusion_p95_ms,improvement_pct__d1_fusion_p95_ms,reference__d1_fusion_max_ms,candidate__d1_fusion_max_ms,raw_relative_change__d1_fusion_max_ms,improvement_pct__d1_fusion_max_ms,reference__d1_scan_input_wall_s,candidate__d1_scan_input_wall_s,raw_relative_change__d1_scan_input_wall_s,improvement_pct__d1_scan_input_wall_s,reference__d2_association_wall_s,candidate__d2_association_wall_s,raw_relative_change__d2_association_wall_s,improvement_pct__d2_association_wall_s,reference__d3_assignment_wall_s,candidate__d3_assignment_wall_s,raw_relative_change__d3_assignment_wall_s,improvement_pct__d3_assignment_wall_s,reference__d5_active_vision_wall_s,candidate__d5_active_vision_wall_s,raw_relative_change__d5_active_vision_wall_s,improvement_pct__d5_active_vision_wall_s,reference__d7_guidance_wall_s,candidate__d7_guidance_wall_s,raw_relative_change__d7_guidance_wall_s,improvement_pct__d7_guidance_wall_s,reference__module_publication_bus_wall_s,candidate__module_publication_bus_wall_s,raw_relative_change__module_publication_bus_wall_s,improvement_pct__module_publication_bus_wall_s,reference__core_wall_s,candidate__core_wall_s,raw_relative_change__core_wall_s,improvement_pct__core_wall_s,reference__external_elapsed_s,candidate__external_elapsed_s,raw_relative_change__external_elapsed_s,improvement_pct__external_elapsed_s,reference__maximum_rss_kib,candidate__maximum_rss_kib,raw_relative_change__maximum_rss_kib,improvement_pct__maximum_rss_kib,reference__real_time_factor,candidate__real_time_factor,raw_relative_change__real_time_factor,improvement_pct__real_time_factor
short_seed_1121,short,1121,2.2,True,True,True,True,True,98,98,2149,0,100.0,98,100.0,0,2.3923546290025115,2.3924683717195876,4.7544254391548046e-05,-0.004754425439154805,15.638106007827446,15.435471024829894,-0.012957770135087032,1.2957770135087032,141.36208144773263,141.40121829696,0.0002768553548911338,-0.02768553548911338,145.82770899869502,147.9384980048053,0.014474539993830457,-1.4474539993830458,1.136614644085057,0.7204230708885007,-0.3661677028027199,36.616770280271986,0.47866676608100533,0.4778404670651071,-0.0017262510674459941,0.1726251067445994,0.7939314120449126,0.7923895560088567,-0.001942051936305816,0.1942051936305816,0.48042230593273416,0.47261716704815626,-0.016246412350534634,1.6246412350534634,0.5586853008717299,0.632283300103154,0.1317342681409149,-13.17342681409149,0.8039717430365272,0.8145397699554451,0.013144774067560422,-1.3144774067560423,8.980543719953857,8.553934864001349,-0.04750367786803678,4.750367786803678,17.04,15.73,-0.0768779342723004,7.68779342723004,882640.0,873160.0,-0.010740505755460891,1.0740505755460892,0.2449740314845106,0.25719157732408626,0.04987282025584069,4.987282025584069
short_seed_1122,short,1122,2.2,True,True,True,True,True,112,112,2182,0,100.0,112,100.0,0,2.5682281596236862,2.6952950132545084,0.04947646616001626,-4.947646616001626,16.458010009955615,15.573987999232486,-0.053713784970866776,5.371378497086678,140.5057217896683,142.35409950779282,0.013155177558473105,-1.3155177558473106,147.78823702363297,252.0373259903863,0.705395037293007,-70.5395037293007,1.1573707049828954,0.7347547360113822,-0.36515177648094954,36.515177648094955,0.4872247499297373,0.4904883029521443,0.006698249674052134,-0.6698249674052135,0.7374465650063939,0.7033910099999048,-0.04618036970067639,4.618036970067639,0.4763159080175683,0.47677250794367865,0.0009586073411042067,-0.09586073411042068,0.5810029918793589,0.6560911710839719,0.12923888560664157,-12.923888560664157,0.8510915371589363,0.856509655888658,0.006366082252219544,-0.6366082252219544,9.223329044994898,8.81487860402558,-0.04428449196344855,4.428449196344856,16.81,16.33,-0.0285544318857823,2.85544318857823,884704.0,884900.0,0.00022154302455962673,-0.02215430245596267,0.23852558975913854,0.2495780258386433,0.046336479413657185,4.633647941365719
short_seed_1123,short,1123,2.2,True,True,True,True,True,86,86,2119,0,100.0,86,100.0,0,2.321130474039819,2.3400743789970875,0.00816149939399891,-0.8161499393998911,17.04876549774781,16.884926502825692,-0.009610021027256197,0.9610021027256197,143.13263524672948,143.2266887568403,0.0006571073742106232,-0.06571073742106232,147.26111304480582,148.50422798190266,0.00844156961328007,-0.844156961328007,1.1307243080809712,0.716942890023347,-0.3659436832660657,36.59436832660657,0.48290530900703743,0.47755483991932124,-0.011079747909000974,1.1079747909000974,0.8352395349065773,0.8990352870896459,0.07638018737966491,-7.638018737966491,0.48377291491487995,0.4748728089616634,-0.01839728037437261,1.839728037437261,0.7128514500218444,0.7199981458834372,0.010025505119438121,-1.002550511943812,0.8261461969232187,0.8263595451135188,0.0002582450794964986,-0.025824507949649862,8.970149797038175,8.578017482999712,-0.043715247003783576,4.371524700378358,16.22,15.82,-0.024660912453760703,2.46609124537607,871216.0,871656.0,0.0005050412297294816,-0.05050412297294816,0.24525788863931916,0.2564695169204371,0.04571362961378989,4.5713629613789895
short_seed_1124,short,1124,2.2,True,True,True,True,True,87,87,2124,0,100.0,87,100.0,0,2.3011187810334377,2.3120045409887098,0.004730638003129616,-0.4730638003129616,16.86881302157417,16.320295981131494,-0.032516635268951995,3.2516635268951997,141.7820069938898,144.9081776721869,0.022049135462102822,-2.2049135462102822,154.7214059974067,162.86051698261872,0.052604944563058385,-5.260494456305839,1.202015443239361,0.706190483935643,-0.412494666430823,41.2494666430823,0.4773785480065271,0.4788744979305193,0.003133676471720516,-0.3133676471720516,0.851925719936844,0.7816346820327453,-0.08250841154239308,8.250841154239307,0.5397299671894871,0.4712178170448169,-0.12693782874690202,12.693782874690202,0.5736418761080131,0.5729369550826959,-0.0012288521021161121,0.12288521021161121,0.7959276072215289,0.8079533690470271,0.015109115095879679,-1.510911509587968,8.834539805015083,8.46554104698589,-0.04176773959631989,4.176773959631989,15.81,15.41,-0.025300442757748284,2.5300442757748285,869240.0,870468.0,0.0014127283604067921,-0.14127283604067922,0.249022591844697,0.2598770696154498,0.0435883254219851,4.35883254219851
short_seed_1125,short,1125,2.2,True,True,True,True,True,98,98,1948,0,100.0,98,100.0,0,2.386565660824999,2.4227971368818544,0.015181428548808712,-1.5181428548808713,16.96048301528208,17.184934520628303,0.013233792053208853,-1.3233792053208853,140.14320002170277,140.08582445676436,-0.0004094066992157012,0.04094066992157012,144.868026021868,150.30167595250532,0.0375075859031662,-3.75075859031662,1.0387905239476822,0.6611477030673996,-0.3635408796810533,36.35408796810533,0.47110364690888673,0.5454384230542928,0.15778858141546653,-15.778858141546653,0.6726668470073491,0.6845685759326443,0.017693348465507387,-1.7693348465507388,0.47766522906022146,0.48177357291569933,0.0086008853178633,-0.86008853178633,0.5653177967760712,0.6548833128181286,0.1584339225703438,-15.843392257034381,0.8472324723843485,0.8613683090079576,0.016684720055437533,-1.6684720055437534,8.887221430020873,8.592633783002384,-0.03314732836782673,3.314732836782673,16.44,16.08,-0.021897810218978284,2.1897810218978284,886152.0,886044.0,-0.00012187525390677898,0.012187525390677897,0.247546437018936,0.2560332554090639,0.03428374284974545,3.4283742849745447
short_seed_1126,short,1126,2.2,True,True,True,True,True,86,86,2126,0,100.0,86,100.0,0,2.287310400570277,2.3291604097466916,0.018296602492595813,-1.8296602492595813,16.971480508800596,17.202638497110456,0.013620378504396995,-1.3620378504396995,142.2285737353377,143.38285048143007,0.008115645933708579,-0.8115645933708578,149.16583796730265,162.71940805017948,0.09086242713192676,-9.086242713192675,1.1407280239509419,0.7102884402847849,-0.3773376077632581,37.73376077632581,0.4801067390362732,0.4925410349969752,0.02589902400799786,-2.5899024007997857,0.7638286699657328,0.7692516060778871,0.007099676046982579,-0.7099676046982579,0.48051923827733845,0.5662496608565561,0.17841205044476738,-17.841205044476737,0.643421937013045,0.5813401791383512,-0.09648685303285681,9.648685303285681,0.8899300969787873,0.8929603529395536,0.0034050494202337964,-0.34050494202337966,8.889373090001754,8.612329205032438,-0.031165739379407885,3.1165739379407884,15.98,15.83,-0.009386733416770985,0.9386733416770985,872592.0,872728.0,0.00015585749124447622,-0.015585749124447622,0.24748651875962221,0.25544773633530815,0.03216828785497798,3.216828785497798
short_seed_1127,short,1127,2.2,True,True,True,True,True,109,109,2168,0,100.0,109,100.0,0,2.5189744024537504,2.5810581507976167,0.024646438758325655,-2.4646438758325657,15.907700057141483,15.837262966670096,-0.004427861363891219,0.4427861363891219,141.0570225911215,142.45828400598836,0.009934006752210189,-0.9934006752210188,152.37931604497135,157.77769702253863,0.03542725559927093,-3.542725559927093,1.3071755121345632,0.7237779862480238,-0.4463038975798097,44.63038975798097,0.48134700703667477,0.4837053559022024,0.004899477572419958,-0.4899477572419958,0.763788906915579,0.7324132119538262,-0.04107901368777103,4.107901368777103,0.4736609658575617,0.47277896892046556,-0.001862084910246438,0.18620849102464382,0.574428443913348,0.5713265258818865,-0.005400007719550633,0.5400007719550632,0.8496825409820303,0.8393981900881045,-0.012103756871407077,1.2103756871407076,9.173510889988393,8.778314069029875,-0.04308021494690977,4.308021494690977,16.62,16.37,-0.015042117930204572,1.5042117930204573,880800.0,881504.0,0.0007992733878292461,-0.07992733878292461,0.23982093948359437,0.2506175995413127,0.04501967209771894,4.501967209771894
short_seed_1128,short,1128,2.2,True,True,True,True,True,93,93,1945,0,100.0,93,100.0,0,2.3334779122378677,2.360847750795074,0.011729204040743495,-1.1729204040743495,16.933045990299433,17.260338994674385,0.019328655019448363,-1.9328655019448364,143.28826240962368,140.57145158294588,-0.01896045622293296,1.896045622293296,219.5046270499006,160.92019597999752,-0.26689383206753503,26.689383206753504,1.0360310539253987,0.6628541341633536,-0.3601985851178129,36.01985851178129,0.4778894780902192,0.4859119840548374,0.016787366812674693,-1.6787366812674693,0.6984634439577349,0.8160026949481107,0.16828260950116147,-16.828260950116146,0.4800323259551078,0.5570548028917983,0.1604526878131403,-16.04526878131403,0.56249624612974,0.5700984471477568,0.013515114225781577,-1.3515114225781577,0.9196530416957103,0.8448377309832722,-0.08135166994553643,8.135166994553643,8.698676426021848,8.41456984297838,-0.03266089794920642,3.266089794920642,15.9,15.57,-0.020754716981132078,2.075471698113208,871224.0,871972.0,0.0008585622067344334,-0.08585622067344334,0.25291203997642236,0.2614512733334564,0.03376364904505976,3.376364904505976
short_seed_1129,short,1129,2.2,True,True,True,True,True,92,92,2145,0,100.0,92,100.0,0,2.217396690743044,2.2213682191213593,0.0017910770747044007,-0.17910770747044008,8.797826012596488,8.43732149223797,-0.040976545778736384,4.097654577873638,142.39348958362828,142.1690471615875,-0.001576212667426418,0.1576212667426418,150.62079898780212,159.10773299401626,0.056346361613056166,-5.634636161305616,1.2171617691055872,0.7329806248890236,-0.3977952286263121,39.77952286263121,0.4735577560495585,0.48047711385879666,0.014611433813184162,-1.4611433813184163,0.7113611460081302,0.724959768995177,0.019116342048419128,-1.9116342048419128,0.4791052938089706,0.4791022028657608,-6.45149041300172e-06,0.000645149041300172,0.5594441667199135,0.5578587549971417,-0.002833905181400456,0.2833905181400456,0.7947103580809198,0.7978785978630185,0.003986659730658853,-0.3986659730658853,8.623218327003997,8.228251251974143,-0.0458027455704092,4.580274557040919,15.44,15.15,-0.018782383419689064,1.8782383419689064,865628.0,865748.0,0.0001386276784022698,-0.01386276784022698,0.2551251651730307,0.2673715146304229,0.04800133867267276,4.800133867267276
short_seed_1130,short,1130,2.2,True,True,True,True,True,79,79,2120,0,100.0,79,100.0,0,2.3112957830308005,2.2654302059090696,-0.019844096743683492,1.9844096743683493,17.11672800593078,16.753989970311522,-0.021192019613419905,2.1192019613419903,145.53215450141576,144.7667402913794,-0.005259416468193099,0.5259416468193099,153.80811202339828,148.732753994409,-0.03299798666156951,3.299798666156951,1.1354054151452146,0.7107750737923197,-0.37399006177770083,37.39900617777008,0.4856328059686348,0.4843185628997162,-0.002706248533389789,0.2706248533389789,0.8491243120515719,0.858697641058825,0.011274355087210848,-1.1274355087210848,0.48057978600263596,0.4747401958447881,-0.012151135623951986,1.2151135623951985,0.5795742300106212,0.6488390718004666,0.1195098715630887,-11.950987156308871,0.8245651540346444,0.8949959019664675,0.08541562493539955,-8.541562493539955,8.972125681000762,8.41453993099276,-0.06214644888320469,6.214644888320469,16.08,15.53,-0.03420398009950242,3.420398009950242,870800.0,871432.0,0.0007257694074414332,-0.07257694074414331,0.2452038767868229,0.2614522027397927,0.06626455570723247,6.626455570723247
