camera_id,frame_index,measurement_timestamp,airsim_image_timestamp,width,height,path
Optical_A,25,0.25,178641966373532704,1280,1024,keyframes/Optical_A/frame_00025.png
Optical_B,25,0.25,178641966390213696,1280,1024,keyframes/Optical_B/frame_00025.png
Optical_A,75,0.75,178641966493419584,1280,1024,keyframes/Optical_A/frame_00075.png
Optical_B,75,0.75,178641966509071488,1280,1024,keyframes/Optical_B/frame_00075.png
Optical_A,225,2.25,178641966839871296,1280,1024,keyframes/Optical_A/frame_00225.png
Optical_B,225,2.25,178641966856529984,1280,1024,keyframes/Optical_B/frame_00225.png
Optical_A,275,2.75,178641966978007296,1280,1024,keyframes/Optical_A/frame_00275.png
Optical_B,275,2.75,178641966994128320,1280,1024,keyframes/Optical_B/frame_00275.png
Optical_A,425,4.25,178641967333839584,1280,1024,keyframes/Optical_A/frame_00425.png
Optical_B,425,4.25,178641967351057888,1280,1024,keyframes/Optical_B/frame_00425.png
Optical_A,475,4.75,178641967471827712,1280,1024,keyframes/Optical_A/frame_00475.png
Optical_B,475,4.75,178641967487929024,1280,1024,keyframes/Optical_B/frame_00475.png
Optical_A,625,6.25,178641967827791424,1280,1024,keyframes/Optical_A/frame_00625.png
Optical_B,625,6.25,178641967844877600,1280,1024,keyframes/Optical_B/frame_00625.png
Optical_A,675,6.75,178641968010814112,1280,1024,keyframes/Optical_A/frame_00675.png
Optical_B,675,6.75,178641968029591296,1280,1024,keyframes/Optical_B/frame_00675.png
Optical_A,825,8.25,178641968491512896,1280,1024,keyframes/Optical_A/frame_00825.png
Optical_B,825,8.25,178641968510879104,1280,1024,keyframes/Optical_B/frame_00825.png
Optical_A,875,8.75,178641968678489600,1280,1024,keyframes/Optical_A/frame_00875.png
Optical_B,875,8.75,178641968698027104,1280,1024,keyframes/Optical_B/frame_00875.png
Optical_A,1025,10.25,178641969169652416,1280,1024,keyframes/Optical_A/frame_01025.png
Optical_B,1025,10.25,178641969191893088,1280,1024,keyframes/Optical_B/frame_01025.png
Optical_A,1075,10.75,178641969347496192,1280,1024,keyframes/Optical_A/frame_01075.png
Optical_B,1075,10.75,178641969367502912,1280,1024,keyframes/Optical_B/frame_01075.png
