detection_uid,camera_id,frame_index,measurement_timestamp,truth_id,raw_detection_name,truth_assignment_pixel_error,relative_pose,box3d,offline_truth_only
Optical_B-F00016-D000,Optical_B,16,0.16,TRUTH-005,MSM_DualOptical_Target_005,0.9219677861217577,"{""orientation_xyzw"": [-0.0, 0.0, 0.9513985514640808, 0.3079623579978943], ""position"": [2059.82958984375, -949.829833984375, 108.45497131347656]}","{""max"": [2059.898193359375, -948.0717163085938, 108.19686889648438], ""min"": [2059.760986328125, -951.5877685546875, 108.8642349243164]}",True
Optical_B-F00017-D000,Optical_B,17,0.17,TRUTH-001,MSM_DualOptical_Target_001,0.8236595977648032,"{""orientation_xyzw"": [-0.0, 0.0, 0.9561184048652649, 0.2929805517196655], ""position"": [2288.5166015625, -948.6351318359375, 96.26068878173828]}","{""max"": [2288.640380859375, -946.8800048828125, 96.00259399414062], ""min"": [2288.392822265625, -950.39013671875, 96.66996002197266]}",True
Optical_B-F00017-D001,Optical_B,17,0.17,TRUTH-004,MSM_DualOptical_Target_004,0.9125826001937116,"{""orientation_xyzw"": [-0.0, 0.0, 0.9140516519546509, 0.4055977463722229], ""position"": [2080.635986328125, -997.4545288085938, 117.44207000732422]}","{""max"": [2080.760009765625, -995.6994018554688, 117.18397521972656], ""min"": [2080.51220703125, -999.2093505859375, 117.85133361816406]}",True
Optical_B-F00017-D002,Optical_B,17,0.17,TRUTH-005,MSM_DualOptical_Target_005,0.9218025954579934,"{""orientation_xyzw"": [-0.0, 0.0, 0.9561184048652649, 0.2929805517196655], ""position"": [2059.974853515625, -1014.8362426757812, 108.45497131347656]}","{""max"": [2060.098876953125, -1013.0811767578125, 108.19686889648438], ""min"": [2059.85107421875, -1016.5911254882812, 108.8642349243164]}",True
Optical_A-F00018-D000,Optical_A,18,0.18,TRUTH-003,MSM_DualOptical_Target_003,0.7931910521423462,"{""orientation_xyzw"": [0.0, -0.0, -0.9834811687469482, 0.18101036548614502], ""position"": [2378.72509765625, 1029.114013671875, 86.35377502441406]}","{""max"": [2380.232666015625, 1030.0211181640625, 86.0956802368164], ""min"": [2377.217529296875, 1028.2069091796875, 86.76304626464844]}",True
Optical_B-F00018-D000,Optical_B,18,0.18,TRUTH-001,MSM_DualOptical_Target_001,0.8241405111448403,"{""orientation_xyzw"": [-0.0, 0.0, 0.9606025815010071, 0.2779255509376526], ""position"": [2288.578125, -1020.8134155273438, 96.26068878173828]}","{""max"": [2288.7568359375, -1019.0630493164062, 96.00259399414062], ""min"": [2288.399169921875, -1022.563720703125, 96.66996002197266]}",True
Optical_B-F00018-D001,Optical_B,18,0.18,TRUTH-002,MSM_DualOptical_Target_002,0.8213071350359605,"{""orientation_xyzw"": [-0.0, 0.0, 0.9203097820281982, 0.3911901116371155], ""position"": [2296.701171875, -944.4973754882812, 98.36015319824219]}","{""max"": [2296.8798828125, -942.7470092773438, 98.10205841064453], ""min"": [2296.5224609375, -946.24755859375, 98.76942443847656]}",True
Optical_A-F00019-D000,Optical_A,19,0.19,TRUTH-001,MSM_DualOptical_Target_001,1.023753111396953,"{""orientation_xyzw"": [0.0, -0.0, -0.9805167317390442, 0.19643568992614746], ""position"": [1840.852294921875, 1039.91064453125, 96.26068878173828]}","{""max"": [1842.387451171875, 1040.77001953125, 96.00259399414062], ""min"": [1839.3170166015625, 1039.0513916015625, 96.66996002197266]}",True
Optical_A-F00019-D001,Optical_A,19,0.19,TRUTH-003,MSM_DualOptical_Target_003,0.7932629064389785,"{""orientation_xyzw"": [0.0, -0.0, -0.9805167317390442, 0.19643568992614746], ""position"": [2378.004150390625, 954.5748291015625, 86.35377502441406]}","{""max"": [2379.53955078125, 955.4342041015625, 86.0956802368164], ""min"": [2376.46875, 953.715576171875, 86.76304626464844]}",True
Optical_A-F00019-D002,Optical_A,19,0.19,TRUTH-006,MSM_DualOptical_Target_006,15.18722743812878,"{""orientation_xyzw"": [0.0, -0.0, -0.9970036745071411, 0.07735401391983032], ""position"": [2323.790771484375, 1060.685791015625, 87.8065185546875]}","{""max"": [2325.326171875, 1061.545166015625, 87.54842376708984], ""min"": [2322.255615234375, 1059.826416015625, 88.21578979492188]}",True
Optical_A-F00019-D003,Optical_A,19,0.19,TRUTH-009,MSM_DualOptical_Target_009,0.7558662414849262,"{""orientation_xyzw"": [0.0, -0.0, -0.9805167317390442, 0.19643568992614746], ""position"": [2509.7919921875, 1022.7033081054688, 102.79280090332031]}","{""max"": [2511.3271484375, 1023.5626220703125, 102.53470611572266], ""min"": [2508.256591796875, 1021.8441162109375, 103.20206451416016]}",True
Optical_B-F00019-D000,Optical_B,19,0.19,TRUTH-002,MSM_DualOptical_Target_002,0.8210062995331897,"{""orientation_xyzw"": [-0.0, 0.0, 0.9263409972190857, 0.37668609619140625], ""position"": [2296.953125, -1017.0143432617188, 98.36015319824219]}","{""max"": [2297.186767578125, -1015.2705078125, 98.10205841064453], ""min"": [2296.71923828125, -1018.7581176757812, 98.76942443847656]}",True
Optical_B-F00019-D001,Optical_B,19,0.19,TRUTH-007,MSM_DualOptical_Target_007,0.8687937030880578,"{""orientation_xyzw"": [-0.0, 0.0, 0.964849591255188, 0.2628028988838196], ""position"": [2170.062255859375, -984.754638671875, 99.29666137695312]}","{""max"": [2170.2958984375, -983.0107421875, 99.03855895996094], ""min"": [2169.828369140625, -986.4984130859375, 99.70592498779297]}",True
Optical_B-F00019-D002,Optical_B,19,0.19,TRUTH-010,MSM_DualOptical_Target_010,7.481402807483504,"{""orientation_xyzw"": [-0.0, 0.0, 0.9263409972190857, 0.37668609619140625], ""position"": [2073.879638671875, -947.4710693359375, 86.68112182617188]}","{""max"": [2074.113037109375, -945.7272338867188, 86.42302703857422], ""min"": [2073.64599609375, -949.2149658203125, 87.09038543701172]}",True
Optical_B-F00019-D003,Optical_B,19,0.19,TRUTH-012,MSM_DualOptical_Target_012,0.9394075445084971,"{""orientation_xyzw"": [-0.0, 0.0, 0.9263409972190857, 0.37668609619140625], ""position"": [2008.0966796875, -950.3771362304688, 95.18427276611328]}","{""max"": [2008.3304443359375, -948.6332397460938, 94.92617797851562], ""min"": [2007.8629150390625, -952.1209106445312, 95.59354400634766]}",True
Optical_B-F00019-D004,Optical_B,19,0.19,TRUTH-013,MSM_DualOptical_Target_013,1.5771433716198602,"{""orientation_xyzw"": [-0.0, 0.0, 0.964849591255188, 0.2628028988838196], ""position"": [2041.23291015625, -949.3284301757812, 97.6869888305664]}","{""max"": [2041.4666748046875, -947.5846557617188, 97.42889404296875], ""min"": [2040.9991455078125, -951.072265625, 98.09626007080078]}",True
Optical_B-F00019-D005,Optical_B,19,0.19,TRUTH-015,MSM_DualOptical_Target_015,0.9951900164407828,"{""orientation_xyzw"": [-0.0, 0.0, 0.964849591255188, 0.2628028988838196], ""position"": [1908.814697265625, -998.2051391601562, 101.57621765136719]}","{""max"": [1909.04833984375, -996.4613037109375, 101.31812286376953], ""min"": [1908.5810546875, -999.9490356445312, 101.98548889160156]}",True
