case_id,evidence_id,sensor_id,measurement_timestamp,arrival_timestamp,risk_reasons,valid_candidate_count,assignment_margin,bbox_area_px2,confidence,selected_nis,selected_forward_depth_m,selected_projection_in_frame,selected_condition_number,selected_raw_pixel_residual_norm,selected_projection_ellipse_major_axis_px,in_frame_alternative_count,composite_warning,online_classification_available,online_classification,online_classification_matches_profile,matches_expected_failure_event,check_multiple_gate_candidates,check_selected_projection_out_of_frame,check_plausible_in_frame_alternative,check_assignment_margin_within_limit,check_selected_depth_within_limit,check_selected_innovation_ill_conditioned,check_bbox_area_within_limit,check_confidence_within_limit
100v100__seed_2000,d1-risk-sha256:7f8d93f9a37cc49a50d7e86afd6b9476b8e3e1bc4322ecc1d1aa417055c4c148,CAM-INT-0071,0.8,0.924601433684548,projection_out_of_frame,1,,201.8404032717338,0.15,3.2644864083730774,14.61690170539102,False,83005.56237373235,283770.6111812249,389821.7074005347,0,False,True,negative,True,False,False,True,False,False,False,False,False,False
100v100__seed_2000,d1-risk-sha256:eb66d70c8afa28b68a1a417490b7e230a1c63178aea97807646e73d7dc67b624,CAM-INT-0081,0.9,1.0096062716952454,projection_out_of_frame,1,,115.9279531282306,0.15,13.042544879165648,25.63796095636037,False,26991.439863690914,162779.60537918977,114753.24178592807,0,False,True,negative,True,False,False,True,False,False,False,False,False,False
100v100__seed_2000,d1-risk-sha256:b63257ff80f4d6909d00ea1e87146d42ee4282ac36c8c26bc18047ec18a5d6ba,CAM-INT-0013,0.9,1.022903325096401,multiple_gate_candidates|projection_out_of_frame,2,2.655784064008479,160.6632366089972,0.15,30.163866905076524,40.913330229253816,False,10987.494553465096,105605.68048179014,48027.12602380083,0,False,True,negative,True,False,True,True,False,False,False,False,False,False
100v100__seed_2000,d1-risk-sha256:bf53bd2996623317ac4eae482a17ef10e53e0e98ab9127d384672ccafc76b5a9,CAM-INT-0077,1.0,1.1164921540548909,projection_out_of_frame,1,,108.18572490502416,0.15,37.259782652617965,46.38035726988693,False,9818.316441473977,98529.46268612453,40851.84821451744,0,False,True,negative,True,False,False,True,False,False,False,False,False,False
100v100__seed_2000,d1-risk-sha256:ffcde38f9dfb6cb2d4251a710dd07b10f5bab191229d05144facf2336be6c0a8,CAM-INT-0064,1.0,1.12939294000664,projection_out_of_frame,1,,224.59706358402497,0.15,0.21381577101987304,4.05762660467374,False,1230391.9895020442,1093196.1101572379,5974493.594645109,0,False,True,negative,True,False,False,True,False,False,True,True,False,False
100v100__seed_2000,d1-risk-sha256:71434046ae7b7c4e4dade06140c2307a76c83712ded7131cb7d3a8b9f4e738aa,CAM-INT-0048,1.4,1.5105094100645626,projection_out_of_frame,1,,348.7898228234867,0.15,0.25357091897793405,3.2881923485570312,False,1642495.453858779,1280108.6203351156,6631738.161555414,0,False,True,negative,True,False,False,True,False,False,True,True,False,False
100v100__seed_2000,d1-risk-sha256:3ddb9405764f246ae61ca5c0c3a13a66387c70fc1ba2dfa1bd609435355673b9,CAM-INT-0041,1.6,1.7037239952163343,projection_out_of_frame,1,,302.1034422465981,0.15,10.577152694972352,22.930144271764817,False,32938.601505798826,181352.91067111155,136508.9672217576,0,False,True,negative,True,False,False,True,False,False,False,False,False,False
100v100__seed_2000,d1-risk-sha256:25f2ac2cb60fcd7e4b20256d9b01ffa5e1f30fd53ffa1fd099d6a7d95d4ba437,CAM-INT-0046,1.8,1.9121200971814947,projection_out_of_frame,1,,67.73333115629227,0.15,32.18862212889331,33.99474216950122,False,12032.192236469153,109710.18894763361,51545.54487166572,0,False,True,negative,True,False,False,True,False,False,False,False,False,False
100v100__seed_2000,d1-risk-sha256:fe2ded0bf489ba7c4ec46feb548d8dc7acde6b6da822fd77bf0d1277a69a1a7f,CAM-INT-0015,1.8,1.9122019572760516,projection_out_of_frame,1,,169.75507244221834,0.15,12.926493444684628,25.56454834685772,False,32041.73809471382,175451.03547386362,123738.14048683671,0,False,True,negative,True,False,False,True,False,False,False,False,False,False
100v100__seed_2002,d1-risk-sha256:28600fa634bf12f05861d4b0173d26ebde3f290911423ceb652b010071a74ba1,CAM-INT-0020,0.2,0.3305923050399989,projection_out_of_frame,1,,69.69657062589214,0.15,14.054299049043395,53.819394223590486,False,5311.038255431933,72228.66586000413,49211.065945976276,0,False,True,negative,True,False,False,True,False,False,False,False,False,False
100v100__seed_2002,d1-risk-sha256:260569cccd6eeb57db8df698c0a64ae41d43cddb0123b439c62bc4b0fee9c0af,CAM-INT-0080,0.4,0.5146636169618668,projection_out_of_frame,1,,62.025694408564235,0.15,2.643032689053317,17.496864437186453,False,50558.14443060187,227996.50345657094,343284.0414390032,0,False,True,negative,True,False,False,True,False,False,False,False,False,False
100v100__seed_2002,d1-risk-sha256:28b80560d298d0c02b212679fabe3d0e7fd8056128c5bbeb857644f0d6b2a9e4,CAM-INT-0100,0.4,0.5178173581270081,projection_out_of_frame,1,,50.37747549409023,0.15,15.312950189900914,44.58447904902973,False,9036.723300750074,94535.4756608496,59510.082310753314,0,False,True,negative,True,False,False,True,False,False,False,False,False,False
100v100__seed_2002,d1-risk-sha256:bef10a699986a09aa4af287da3958ca6c89e42d8d5354b5b611cd8b89011f023,CAM-INT-0038,0.4,0.5199244582256235,projection_out_of_frame,1,,384.8391635080272,0.15,20.38452990287271,44.165864350349686,False,6900.56037198937,84889.7574892951,47942.07081420703,0,False,True,negative,True,False,False,True,False,False,False,False,False,False
100v100__seed_2002,d1-risk-sha256:d84bed740eeefaf6747dfbbb5db37fb94cd1168957d36e987cfd3c17467f4d62,CAM-INT-0048,0.5,0.6266298022260035,projection_out_of_frame,1,,62.05022601059111,0.15,1.343777043478453,10.882871284672314,False,166578.50197430496,412300.863173013,910692.1270998478,0,False,True,negative,True,False,False,True,False,False,False,False,False,False
100v100__seed_2002,d1-risk-sha256:69578a21fca77b36a5b8332f4a1a21f88a3ae175b11467331944dbf8f9282fd9,CAM-INT-0059,0.7,0.807800967387039,multiple_gate_candidates|projection_out_of_frame,2,27.257073042110957,68.53790929265597,0.15,0.6151166538329815,6.7343538536370575,False,463982.27677551575,671666.5859611256,2096784.9790720355,1,False,True,negative,True,False,True,True,True,False,False,False,False,False
100v100__seed_2002,d1-risk-sha256:46525a3f1557da4a41420da0720361da6f5ad2297562955ef03df1412289676b,CAM-INT-0091,0.8,0.9242176277589982,projection_out_of_frame,1,,285.6056271094863,0.15,18.716514022340185,31.21816577440913,False,18369.97384457862,136150.2451385091,86298.31957325555,0,False,True,negative,True,False,False,True,False,False,False,False,False,False
100v100__seed_2002,d1-risk-sha256:f8d51dc6d0713eed15730256e845c4b352c650fc58584892562119e7693e7d74,CAM-INT-0072,1.3,1.4248173651014575,projection_out_of_frame,1,,131.1291180423279,0.15,2.3698391861536816,11.318886420223322,False,184820.8800275085,424369.46865959396,714077.923477216,0,False,True,negative,True,False,False,True,False,False,False,False,False,False
100v100__seed_2002,d1-risk-sha256:a67572e5362fcb35ac002b6448ccf39f6958233d35ca1806ba959af435b5618b,CAM-INT-0001,1.3,1.4268622118092589,projection_out_of_frame,1,,120.29439761764218,0.15,23.250309426319717,30.83120327990345,False,21369.855856998838,146372.02937038176,82595.60539581165,0,False,True,negative,True,False,False,True,False,False,False,False,False,False
100v100__seed_2002,d1-risk-sha256:beda757ab6fbb201f59a554826e01d1fd8e898cd8a309026f5271efb59d641be,CAM-INT-0042,1.3,1.4287168797228917,projection_out_of_frame,1,,241.40729952794567,0.15,24.78664071390553,36.409330938485375,False,15753.823796857521,125265.93260770856,62041.296524811,0,False,True,negative,True,False,False,True,False,False,False,False,False,False
100v100__seed_2002,d1-risk-sha256:f9bd1375be4847c082401fadc109115052d34f2756d4d8b90fe8989b5e1296c5,CAM-RECON-004,1.4,1.511493393154861,multiple_gate_candidates|projection_out_of_frame|weak_assignment_margin,2,0.26246656123880996,64.4168032679519,0.15,22.205291232227964,25.905633350018814,False,13071.173369213328,271175.79558243067,144476.3607835774,0,False,True,negative,True,False,True,True,False,True,False,False,False,False
